token,count_pos,count_neg,count_total,log_odds_food,sem_sim_food,logodds_z,semsim_z,final_score
甜,216,0,216,1.8143860593448276,0.6765469312667847,3.280024897802207,-1.597456788567817,1.3290322232541971
意外,66,0,66,0.6278416209802069,0.8607678413391113,1.9152452561336122,0.13525003026436183,1.2032471657859118
香,236,0,236,1.9040705698231175,0.6265999674797058,3.3831812483915567,-2.0672375789235793,1.203013717465502
清爽,135,0,135,1.3410041854371935,0.7214817404747009,2.7355345918727325,-1.1748182819677169,1.1713934423365528
一般,107,0,107,1.1083669994685525,0.75059974193573,2.4679521187352993,-0.900946224433737,1.1203927814676848
濃郁,171,0,171,1.5785677491432324,0.6360836029052734,3.0087834520630072,-1.9780383682435976,1.0140547239403652
健康,59,0,59,0.5169675051060896,0.8292485475540161,1.7877163316025104,-0.16120760445673146,1.0081467571788136
驚喜,36,0,36,0.0318143228019121,0.9120377898216248,1.2296865057562367,0.6174742756116889,0.9848016136984176
明顯,38,0,38,0.0846080712891153,0.8874656558036804,1.2904105973393671,0.38635879502137765,0.9287898764121713
濃,131,0,131,1.310849016180649,0.6386315226554871,2.7008497037541503,-1.9540736732298825,0.8388803529605371
簡單,61,1,62,-0.14593137004578605,0.8991270065307617,1.0252409787710328,0.4960407085114067,0.8135608706671824
可麗,75,0,75,0.7545591099579498,0.7309296727180481,2.0609974451022346,-1.0859548808723425,0.8022165147124038
酥脆,118,0,118,1.2061890471200396,0.647434651851654,2.580468375880368,-1.8712750268695393,0.7997710147804049
酥,121,0,121,1.2313130223813618,0.6425683498382568,2.609366315852761,-1.9170454808196347,0.7988015971838027
平常,32,0,32,-0.08289599088276844,0.8798690438270569,1.0977451340347995,0.31490815802935535,0.7846103436326217
冷,60,1,61,-0.16226703086575522,0.8926293849945068,1.006451478269033,0.43492672781486424,0.7778415780873655
清淡,51,0,51,0.3732657901840062,0.7893310189247131,1.6224286536552508,-0.5366556142389385,0.758794946497575
嫩,83,0,83,0.8552445248912734,0.698110818862915,2.1768071864578538,-1.3946356481029458,0.7482300526335339
不同,92,1,93,0.26186588130484356,0.8035768270492554,1.494294954818345,-0.4026653475125494,0.7355108338859873
軟,122,0,122,1.239551818961302,0.6220384836196899,2.618842692363066,-2.110141037521951,0.7272492004090592
軟嫩,77,0,77,0.7806850514882528,0.7039236426353455,2.09104786038135,-1.339962596150235,0.7186436777687158
幸福,27,0,27,-0.2475738688211102,0.883160412311554,0.9083303864900724,0.3458654289175426,0.6833444034610605
重要,23,0,23,-0.40202430884246,0.9070928692817688,0.7306793779206661,0.5709643678350538,0.6667933738864211
很嫩,43,0,43,0.20561119506892478,0.793060302734375,1.429590045300541,-0.501579490232035,0.6571222310875106
足,31,0,31,-0.1137426261193788,0.8515724539756775,1.0622649122885945,0.04876196340935787,0.6568637327368998
驚艷,124,1,125,0.5599932176436209,0.7257781028747559,1.8372050946364857,-1.1344084477972818,0.6485596776629786
