token,count_pos,count_neg,count_total,log_odds_food
意,8,0,8,-1.2815193901303772
魚塊,8,0,8,-1.2815193901303772
本體,8,0,8,-1.2815193901303772
習慣,8,0,8,-1.2815193901303772
台式,17,1,18,-1.2819646577077943
嘴,17,1,18,-1.2819646577077943
小孩,70,7,77,-1.2986489169486237
聚會,43,4,47,-1.30579444157949
冷氣,34,3,37,-1.3110461379874376
廚房,34,3,37,-1.3110461379874376
番茄,34,3,37,-1.3110461379874376
廳,16,1,17,-1.3391420802442227
菜品,16,1,17,-1.3391420802442227
貓,16,1,17,-1.3391420802442227
光,16,1,17,-1.3391420802442227
大人,16,1,17,-1.3391420802442227
人員,198,23,221,-1.3741480278526383
交通,7,0,7,-1.3993214312318205
指數,7,0,7,-1.3993214312318205
尾,7,0,7,-1.3993214312318205
蟲,7,0,7,-1.3993214312318205
披薩,7,0,7,-1.3993214312318205
女服,7,0,7,-1.3993214312318205
訂餐,7,0,7,-1.3993214312318205
藝術,7,0,7,-1.3993214312318205
總店,7,0,7,-1.3993214312318205
大路,7,0,7,-1.3993214312318205
專程,7,0,7,-1.3993214312318205
觀感,7,0,7,-1.3993214312318205
老實,7,0,7,-1.3993214312318205
夾子,7,0,7,-1.3993214312318205
牛小,7,0,7,-1.3993214312318205
榻榻米,7,0,7,-1.3993214312318205
臭味,7,0,7,-1.3993214312318205
醬香,7,0,7,-1.3993214312318205
小籠,7,0,7,-1.3993214312318205
海味,7,0,7,-1.3993214312318205
木瓜,7,0,7,-1.3993214312318205
麻醬,7,0,7,-1.3993214312318205
流沙,7,0,7,-1.3993214312318205
興隆,7,0,7,-1.3993214312318205
胡椒粉,7,0,7,-1.3993214312318205
超人,7,0,7,-1.3993214312318205
偏酸,7,0,7,-1.3993214312318205
大力,7,0,7,-1.3993214312318205
宮保,7,0,7,-1.3993214312318205
靜候,7,0,7,-1.3993214312318205
順序,7,0,7,-1.3993214312318205
餃,7,0,7,-1.3993214312318205
白蝦,7,0,7,-1.3993214312318205
墨,7,0,7,-1.3993214312318205
盒子,7,0,7,-1.3993214312318205
烤布蕾,7,0,7,-1.3993214312318205
差異,7,0,7,-1.3993214312318205
超級,7,0,7,-1.3993214312318205
整餐,7,0,7,-1.3993214312318205
菠菜,7,0,7,-1.3993214312318205
女友,7,0,7,-1.3993214312318205
餐盒,7,0,7,-1.3993214312318205
彈牙,7,0,7,-1.3993214312318205
韓國,7,0,7,-1.3993214312318205
點睛,7,0,7,-1.3993214312318205
主角,7,0,7,-1.3993214312318205
技巧,7,0,7,-1.3993214312318205
性,7,0,7,-1.3993214312318205
烤箱,7,0,7,-1.3993214312318205
香油,7,0,7,-1.3993214312318205
誘人,7,0,7,-1.3993214312318205
餐桌,7,0,7,-1.3993214312318205
金額,7,0,7,-1.3993214312318205
冰櫃,7,0,7,-1.3993214312318205
蛋黃,7,0,7,-1.3993214312318205
邊緣,7,0,7,-1.3993214312318205
老屋,7,0,7,-1.3993214312318205
白酒,7,0,7,-1.3993214312318205
牛筋,7,0,7,-1.3993214312318205
食堂,7,0,7,-1.3993214312318205
意間,7,0,7,-1.3993214312318205
油耗,7,0,7,-1.3993214312318205
全,7,0,7,-1.3993214312318205
西式,7,0,7,-1.3993214312318205
油條,7,0,7,-1.3993214312318205
薄餅,7,0,7,-1.3993214312318205
