token,count_pos,count_neg,count_total,log_odds_food
臭,20,1,21,-1.23161943488482
辣,9,0,9,-1.2785414998234446
悠閒,9,0,9,-1.2785414998234446
溫暖,9,0,9,-1.2785414998234446
不愧,9,0,9,-1.2785414998234446
厚實,9,0,9,-1.2785414998234446
優雅,9,0,9,-1.2785414998234446
穩定,9,0,9,-1.2785414998234446
努力,9,0,9,-1.2785414998234446
長,28,2,30,-1.3164107322221712
強烈,18,1,19,-1.3318527061761651
優秀,18,1,19,-1.3318527061761651
獨特,27,2,29,-1.3515770061240957
耐心,36,3,39,-1.3625772485505978
懶,8,0,8,-1.3839768629795284
很硬,8,0,8,-1.3839768629795284
安靜,8,0,8,-1.3839768629795284
空,8,0,8,-1.3839768629795284
空虛,8,0,8,-1.3839768629795284
樂,8,0,8,-1.3839768629795284
愜意,8,0,8,-1.3839768629795284
深,8,0,8,-1.3839768629795284
微苦,8,0,8,-1.3839768629795284
焦,8,0,8,-1.3839768629795284
合適,8,0,8,-1.3839768629795284
可樂,8,0,8,-1.3839768629795284
很爽,8,0,8,-1.3839768629795284
有誠,8,0,8,-1.3839768629795284
迅速,8,0,8,-1.3839768629795284
較重,8,0,8,-1.3839768629795284
適當,8,0,8,-1.3839768629795284
飽滿,8,0,8,-1.3839768629795284
最,17,1,18,-1.3859948253980168
清楚,25,2,27,-1.4258348696068852
有限,16,1,17,-1.4432281315802582
清,33,3,36,-1.4473596168938325
香脆,7,0,7,-1.5018347405324404
尷尬,7,0,7,-1.5018347405324404
幽默,7,0,7,-1.5018347405324404
帥,7,0,7,-1.5018347405324404
遺憾,7,0,7,-1.5018347405324404
連續,7,0,7,-1.5018347405324404
精華,7,0,7,-1.5018347405324404
壞,7,0,7,-1.5018347405324404
蠻快,7,0,7,-1.5018347405324404
熱情,7,0,7,-1.5018347405324404
碎,7,0,7,-1.5018347405324404
甜蜜,7,0,7,-1.5018347405324404
均衡,7,0,7,-1.5018347405324404
不辣,7,0,7,-1.5018347405324404
熱心,7,0,7,-1.5018347405324404
很淡,7,0,7,-1.5018347405324404
愛好,7,0,7,-1.5018347405324404
不,7,0,7,-1.5018347405324404
青,7,0,7,-1.5018347405324404
暢,7,0,7,-1.5018347405324404
澀,7,0,7,-1.5018347405324404
細細,7,0,7,-1.5018347405324404
爽脆,7,0,7,-1.5018347405324404
不限,7,0,7,-1.5018347405324404
早,15,1,16,-1.5039276401305433
貼心,22,2,24,-1.5486619865748414
遠,22,2,24,-1.5486619865748414
不大,22,2,24,-1.5486619865748414
突然,14,1,15,-1.5685410423943615
貴,29,3,32,-1.5728226548868234
衛生,36,4,40,-1.5884345057364033
全,21,2,23,-1.593188669542788
腐,6,0,6,-1.6354409694526018
很薄,6,0,6,-1.6354409694526018
很貴,6,0,6,-1.6354409694526018
清新,6,0,6,-1.6354409694526018
成功,6,0,6,-1.6354409694526018
旺,6,0,6,-1.6354409694526018
濃稠,6,0,6,-1.6354409694526018
偏淡,6,0,6,-1.6354409694526018
巧妙,6,0,6,-1.6354409694526018
緊張,6,0,6,-1.6354409694526018
適時,6,0,6,-1.6354409694526018
偏軟,6,0,6,-1.6354409694526018
有名,6,0,6,-1.6354409694526018
普,6,0,6,-1.6354409694526018
苦澀,6,0,6,-1.6354409694526018
軟軟,6,0,6,-1.6354409694526018
愉快,27,3,30,-1.6419654401736201
豐盛,12,1,13,-1.7117916314680786
幸運,12,1,13,-1.7117916314680786
一大,12,1,13,-1.7117916314680786
友善,43,6,49,-1.7565594748581685
厚薄,5,0,5,-1.7896664799754456
癟,5,0,5,-1.7896664799754456
瘦,5,0,5,-1.7896664799754456
粗好,5,0,5,-1.7896664799754456
較慢,5,0,5,-1.7896664799754456
很適,5,0,5,-1.7896664799754456
典雅,5,0,5,-1.7896664799754456
便利,5,0,5,-1.7896664799754456
順利,5,0,5,-1.7896664799754456
炎熱,5,0,5,-1.7896664799754456
不易,5,0,5,-1.7896664799754456
興趣,5,0,5,-1.7896664799754456
軟硬,5,0,5,-1.7896664799754456
樸實,5,0,5,-1.7896664799754456
樂趣,5,0,5,-1.7896664799754456
美妙,5,0,5,-1.7896664799754456
太薄,5,0,5,-1.7896664799754456
濕軟,5,0,5,-1.7896664799754456
薄脆,5,0,5,-1.7896664799754456
美觀,5,0,5,-1.7896664799754456
良心,5,0,5,-1.7896664799754456
無限,5,0,5,-1.7896664799754456
柔嫩,5,0,5,-1.7896664799754456
晶瑩,5,0,5,-1.7896664799754456
很滿,5,0,5,-1.7896664799754456
綿,5,0,5,-1.7896664799754456
藍,5,0,5,-1.7896664799754456
稀,5,0,5,-1.7896664799754456
很爛,5,0,5,-1.7896664799754456
很高,5,0,5,-1.7896664799754456
根本,40,6,46,-1.8274021405536574
不好意思,10,1,11,-1.878995439143952
良好,15,2,17,-1.9120918052078721
差,56,10,66,-1.9596960735699667
蠻好,9,1,10,-1.9743804720491012
糟糕,8,1,9,-2.079815835205185
認真,12,2,14,-2.1199557965454074
誠意,15,3,18,-2.2024802392573966
便當,19,4,23,-2.204894364539574
驚訝,10,2,12,-2.287159604221281
辛苦,10,2,12,-2.287159604221281
猶豫,6,1,7,-2.3312799416782584
順便,6,1,7,-2.3312799416782584
歡樂,6,1,7,-2.3312799416782584
充分,6,1,7,-2.3312799416782584
寬,5,1,6,-2.485505452201102
美麗,5,1,6,-2.485505452201102
好奇,5,1,6,-2.485505452201102
溫柔,8,2,10,-2.487980000282514
麻煩,11,3,14,-2.4904618025769443
平均,11,3,14,-2.4904618025769443
仔細,7,2,9,-2.605837877835426
聰明,4,1,5,-2.6679018340914293
落差,4,1,5,-2.6679018340914293
優,4,1,5,-2.6679018340914293
優惠,4,1,5,-2.6679018340914293
痛,4,1,5,-2.6679018340914293
清澈,4,1,5,-2.6679018340914293
短,6,3,9,-3.0298325408051117
較大,5,4,9,-3.409915308513761
